source,target,average_causal_effect_estimate,bootstrap_edge_frequency
NWD1,disease,-0.2664454439791233,1.0
HOXB7,disease,0.1122745782855475,0.9225
sex,disease,-0.095903803007319,0.7525
WNT6,disease,0.0887321502466389,0.8775
LUZP1,KLHDC10,0.9036057250376468,0.835
FGF11,ETS1,0.8942476020257639,0.915
MIR369,FAM83C,0.893842851025586,0.7825
RNF220,ST18,-0.8880289542803348,0.9125
BAZ2B,LRP6,0.8439253078167435,0.9025
RNF220,ST14,-0.8421325284798377,0.8
MIR1197,OR10V1,0.8042995574254527,0.755
AHDC1,LUZP1,0.7472443908354075,0.7875
BAZ2B,INPP5B,0.7344002166690625,0.84
MIR369,KALRN,0.7334617237113676,0.945
AHDC1,PPP1R9A,0.731914738855129,0.88
LUZP1,IQGAP3,0.727437338623366,0.8125
AHDC1,CD6,0.7237827079910056,0.9625
DPEP1,APOA4,0.7194266040262854,0.8625
MIR369,ADCY5,0.6795505496257693,0.8325
BAZ2B,RUFY4,-0.6462454174991763,0.8475
MIR369,MIR134,0.6343024592614966,0.9575
NET1,CARD18,-0.6004624556395795,0.96
RUNDC3A,FOXS1,-0.5851604527057932,0.9325
PCDHGA1,PCDHB15,0.5834816083237351,0.8375
RNF220,MIR1197,-0.5657409614546556,0.885
BAZ2B,GPR142,-0.5625441618914983,0.92
ETS1,RUNDC3A,0.5461597975856467,0.885
RNF220,BMPR1A,0.544680643177289,0.8875
CXCR4,GUCA2B,-0.5444565595907396,0.7925
CXCR4,CD6,0.5269671412421542,0.8025
MIR369,CA9,-0.5252565378908589,0.8
CXCR4,NWD1,0.5249532232080445,0.96
FGF11,RNF220,0.4916616288174941,0.8725
RNF220,DLX2,0.4893700852277267,0.79
CEBPA,ARRB1,0.4862944976795678,0.88
SCN5A,NGB,0.4815078290883017,0.8325
RNF220,CXCR4,0.4811239825598323,0.9425
RNF220,CEBPA,0.4805841072300834,0.7625
LRP6,CRB2,-0.4577815599932071,0.835
RNF220,SPIRE1,0.443775904596045,0.975
CXCR4,AP3B1,0.4411494668818236,0.8
FGF11,GIPR,0.4345759411076765,0.8225
IQGAP3,CALML5,-0.4271015941527978,0.83
MIR369,ANKFN1,0.4248933988550341,0.925
RUFY4,VTCN1,0.4195377010241412,0.8025
FGF11,CEBPA,0.3948042729795182,0.96
CEBPA,SLC24A3,0.3817130284885204,0.88
CACNA1G,ARHGEF10L,0.3648551852487045,0.8125
CEBPA,CA9,0.3583749924642687,0.8525
IGSF10,OR10V1,0.3564149224671991,0.83
ETS1,BMPR1A,0.3559531926402578,0.9875
AP3B1,VTCN1,-0.340872794133125,0.8475
PPP1R9A,BMPR1A,0.3366204770723171,0.77
CXCR4,RNF112,-0.334013691757027,0.925
RUFY4,CHD5,0.3333868349715656,0.7925
MIR369,E2F8,-0.3245543894179081,0.93
PSD3,CHST1,0.3212939072517932,0.765
FGF11,SPIRE1,0.3076828940528928,0.895
ARRB1,ADORA3,0.3043368109143202,0.765
SCN5A,CHD5,0.3008053860892477,0.8725
AP3B1,ADORA3,0.3003455583097865,0.9075
NET1,AP3B1,0.299826783308168,0.87
DPEP1,RNF112,0.2929806287347508,0.755
CRHBP,PLA2G4E,-0.2852051120839312,0.755
PPP1R9A,SPIRE1,0.2841313117411121,0.7625
LUZP1,GIPR,0.282741739644303,0.8325
RUNDC3A,MIR369,-0.2797760408649441,0.82
INPP5B,ARRB1,0.2792778477473754,0.835
CRHBP,ADORA3,0.2770280639490365,0.8275
MIR369,KIF26A,0.2737757083867254,0.9475
