source,target,average_causal_effect_estimate,bootstrap_edge_frequency
ME3,disease,0.5766577025120918,0.99
ME6,disease,0.5697150117788903,0.995
ME2,disease,0.486303794999208,0.84
age,disease,0.0039775582637995,0.98
ME3,ME2,-1.253214262691825,0.755
ME0,ME1,0.8909096765051687,0.995
ME4,ME2,-0.5840162434882967,0.99
ME5,ME6,0.4411106250295895,1.0
ME4,ME6,0.4206047404967717,0.895
ME5,ME2,-0.1447067371454963,0.795
ME1,ME2,0.0962809667164037,0.94
ME1,ME6,-0.0762348047350367,1.0
sex,ME0,-0.0178510192965019,1.0
sex,ME5,-0.0106957798243365,1.0
sex,ME2,-0.008473167293895,1.0
sex,ME4,-0.0071981788757966,1.0
sex,ME3,-0.0015695470716008,1.0
age,ME6,0.0007784579631308,1.0
age,ME4,0.0007768515640127,1.0
age,ME3,-0.0003736729385094,0.875
age,ME5,-0.000290429016832,1.0
sex,ME1,0.0002841503521042,1.0
age,ME2,-0.0002329925575873,1.0
